ruta,prediccion,valor_real
441-mousepad,1,1
productos?/categoria/smart-home/,1,1
quienes-somos/,1,0
computadoras/,1,1
productos/,1,1
perifericos/webcam/,1,1
marca/wd/,1,1
_BRAND_1823,1,1
procesadores/,1,1
marca/thermaltake/,1,1
cat/search/asus%205060,1,1
monitores/,1,1
Monitores/,1,1
393-ups,1,1
outlet/,1,1
conectividad/,1,1
monitores,1,1
mother/,1,1
mi-cuenta/,1,0
fuentes/,1,1
arma-tu-pc/,0,0
audio/,1,1
mis-consultas/,1,0
_BRAND_15162008,1,1
procesadores/amd/,1,1
mis-preguntas/,1,0
perifericos/mouses/,1,1
butacas/,1,1
feed/,1,0
motherboards/,1,1
wishlist/,1,0
gabinetes/modding/,1,1
marca/msi/,1,1
ofertas/,1,1
498-microfono,1,1
varios/,1,1
productos?/cate=48,1,1
productos?/categoria/sillas/,1,1
pc-armadas,1,1
412-memorias,1,1
toners/,1,1
_BRAND_923416,1,1
productos?/categoria/macbook-apple/,1,1
componentes-pc/cooler-cpu/,1,1
marca-filtros/asus/,1,1
motherboard/,1,1
_BRAND_4208,1,1
combos/actualizacion-/,1,1
combos/todo-en-combos/,1,1
_BRAND_41874,1,1
procesadores/,1,1
simuladores/,1,1
_BRAND_194,1,1
cart/,1,0
marca/logitech/,1,1
perifericos/teclados/,1,1
sanrio,1,0
perifericos/gaming-kit,1,1
parlantes/,1,1
marca/id-cooling/,1,1
_BRAND_1150760,1,1
libro-de-quejas/,1,0
409-gabinetes-sin-psu,1,1
407-fuentes,1,1
nvidia.htm,1,1
memorias-ram/,1,1
479-videovigilancia,1,1
coleccionables/,1,1
editar/,1,0
camaras-ip,1,1
outlet-/outlet/,1,1
productos?/categoria/accesorios/,1,1
marca/aoc/,1,1
444-teclados,1,1
seguridad/,1,1
almacenamiento/,1,1
hardware/,1,1
Celulares/,1,1
eligi-tu-combo/,1,1
sillas-gamer/,1,1
portatiles/,1,1
placas-de-video/,1,1
servicio-tecnico/,1,0
varios-electronica/,1,1
componentes-pc/cpu/,1,1
productos?/categoria/fuentes-80-plus/,1,1
wallpapers/,1,0
_BRAND_42328,1,1
consolas/,1,1
refrigeracion/,1,1
productos?/cate=13,1,1
productos?/categoria-producto/,1,1
productos?/cate=49,1,1
gamepad-joystick/,1,1
gabinetes/,1,1
auriculares/cable/,1,1
productos?/categoria/monitores-gamer/,1,1
bangho-vx.htm,1,1
perifericos/microfonos/,1,1
datos-bancarios/,0,0
corsair-vx.htm,1,1
arma-tu-pc/,0,1
tablet/,1,1
sobre-nosotros/,1,0
483-parlantes,1,1
almacenamiento/ssd/,1,1
elegi-tu-pc/pc-amd/,1,1
contacto/,1,0
hogar/fabrica-de-hielo/,1,1
marca/raidmax/,1,1
resultado-busqueda.htm,1,1
accesorios/cables/,1,1
venta-empresas/,1,0
marca/noganet/,1,1
productos?/categoria-producto/equipos/,1,1
energia/UPS/,1,1
accesorios,1,1
domotica/smart-home/,1,1
hogar/gadgets/,1,1
consolas/joysticks1/,1,1
perifericos/webcams,1,1
quienes-somos/,1,0
preguntas-frecuentes/,1,0
refrigeracion/coolers/,1,1
combos-especiales/,1,1
informar-pago/,1,0
libro-de-quejas-on-line/,1,0
392-powerbanks,1,1
marca/crucial/,1,1
_BRAND_7294334,1,1
perifericos/mouse/,1,1
productos/,1,0
marca/patriot/,1,1
placas-de-video/,1,1
hogar/freidoras/,1,1
ubicacion/,1,0
contactanos.htm,1,0
notebooks/,1,1
_BRAND_899182,1,1
impresoras/,1,1
juguetes/,1,0
productos?/categoria/fuentes/,1,1
accesorios/,1,1
outlet/outlet/,1,1
sillas-gamers,1,1
marca/lexar/,1,1
fuentes/,1,1
recuperar-password/,1,0
conectividad/,1,1
389-energia,1,1
celulares/motorola/,1,1
productos?/categoria/bluetooth/,1,1
perifericos-/teclado/,1,1
marca-filtros/intel/,1,1
notebooks/,1,1
productos?/categoria/coolers/,1,1
joystick-gamepad/,1,1
379-router-wifi,1,1
accesorios/,1,1
consolas/nintendo/,1,1
mother/para-intel/,1,1
pilas/aaa/,1,1
hogar/,1,1
gabinetes/,1,1
productos?/categoria/memorias/,1,1
tag/pc_asus,1,1
notebook/,1,1
otros/,1,1
cables-y-adaptadores/,1,1
tablet/lenovo1/,1,1
421-ssd,1,1
432-monitores-gamer,1,1
marca/apple/,1,1
todo-en-gabinetes/,1,1
_BRAND_7124,1,1
2x1-digitales-ps4-y-ps5,1,0
monitores/,1,1
/mi-cuenta/,1,0
favoritos/,1,0
monitores/,1,1
celulares/,1,1
componentes-de-pc,1,1
accesorios/,1,1
377-placas-wifi,1,1
celulares/,1,1
productos?/cate=84,1,1
perifericos-/,1,1
369-pc-armada,1,1
pilas/,1,1
marca-filtros/lenovo/,1,1
perifericos/teclados,1,1
374-access-point,1,1
marca/naxido/,1,1
497-televisores,1,1
term-conditions/,1,0
ayuda/,0,0
480-sonido-video,1,1
sobre-nosotros/,1,0
productos?/categoria/fuentes/,1,1
416-perifericos3,1,1
517-smart-home,1,1
419-procesadores,1,1
422-impresoras,1,1
garantia/,1,0
marca/xpg/,1,1
parlantes-bt/,1,1
accesorios-/,1,1
pc-armadas/#gaming,1,1
trabajar-en-mexx/,1,0
gamdias-vx.htm,1,1
373-conectividad,1,1
perifericos/microsd/,1,1
amd-micrositio.htm,1,1
pc-de-escritorio,1,1
hogar/cafeteras-expresso/,1,1
notebooks/,1,1
500-cables-av,1,1
marca/genius/,1,1
515-consumo,1,1
443-sillas-gamer,1,1
mi-cuenta/,1,0
marca/lenovo/,1,1
440-mouse,1,1
terminos-y-condiciones/,1,0
garantia/,1,0
_BRAND_2097652,1,1
mouse-pad/,1,1
perifericos/kits/,1,1
proyectores/,1,1
wp-json/,1,0
fuentes/,1,1
sillas-gamer/,1,1
monitores/,1,1
marca/markvision/,1,1
marca/hyper-x/,1,1
productos?/cate=66,1,1
samsung/,1,1
carrito/,0,0
productos?/categoria/gabinetes/,1,1
volantes-y-accesorios/,1,1
productos?/cate=38,1,1
productos?/categoria/refrigeracion-pc/,1,1
fuentes/fuentes1/,1,1
Sillas-/,1,1
monitores/,1,1
pc-armadas/#workstation,1,1
terminos-y-condiciones/,1,0
impresoras/,1,1
notebooks/,1,1
buscar/,1,0
productos?/categoria/seguridad/,1,1
perifericos/kit-gamer/,1,1
term-conditions/,1,0
repetidor-wifi/,1,1
feed/,1,0
gabinete/,1,1
wp-json/,1,0
auriculares/,1,1
memorias-portatil/,1,1
sillas-gamer/,1,1
productos?/categoria-producto/hardware/,1,1
monitores/,1,1
productos?/categoria/apple/,1,1
placa-de-video/,1,1
ayuda/,0,0
wallpapers/,1,0
comments/feed/,1,0
perifericos/stream/,1,1
marca/noctua/,1,1
conectividad-y-redes,1,1
_BRAND_7494,1,1
pcarmada/,1,1
smart-home/robot-piscina/,1,1
tag/hardware,1,1
mochilas/,1,0
marca/gigabyte/,1,1
438-gamepads,1,1
almacenamiento/hdd/,1,1
marca/viewsonic/,1,1
buscar/,1,0
outlet-/outlet/,1,0
_BRAND_2542655,1,1
496-streaming,1,1
tech-accesorios.htm,1,1
elgato/,1,1
productos?/cate=3,1,1
marca-filtros/hp/,1,1
productos?/categoria-producto/otros/,1,1
_BRAND_995,1,1
accesorios-/cables/,1,1
mi-cuenta/,1,0
venta-empresas/,1,0
centro-de-ayuda.htm,1,0
tienda/,1,1
508-notebook-oficina,1,1
carrito/,0,0
almacenamiento/,1,1
como-comprar/,1,0
productos?/categoria/combos/,1,1
_BRAND_17337102,1,1
perifericos/mouse/,1,1
perifericos/mouse/,1,1
impresora/resma-/,1,1
refrigeracion-/,1,1
marca/evga/,1,1
productos?/cate=65,1,1
quienes-somos.htm,1,0
marca/crucial/,1,1
buscar/,1,0
marca/lexar/,1,1
portatil/,1,1
novedades/,1,0
_BRAND_9597,1,1
productos?/cate=27,1,1
hogar/impresoras/,1,1
carrito/,0,0
perifericos-/web-cam/,1,1
413-memorias-soddimm,1,1
sillas-gamer/,1,1
productos?/cate=35,1,1
seguridad/nvr/,1,1
productos?/cate=21,1,1
371-pc-hogar-oficina,1,1
motherboars-intel/,1,1
cart/,1,0
mouse/,1,1
tienda/,1,1
productos?/categoria/iphone-apple/,1,1
productos?/cate=31,1,1
productos?/categoria/pen-drives/,1,1
wp-json/oembed/1.0/embed,1,0
_BRAND_1258105,1,1
marca-filtros/tp-link/,1,1
computadoras-gamers/,1,1
xpg-vx.htm,1,1
362-cable-power,1,1
tag/razer_silla%20gamer,1,1
como-comprar/,1,0
marca/lg/,1,1
perifericos/,1,1
procesadores/intel/,1,1
mi-cuenta/,1,0
marca/xigmatek/,1,1
parlantes/jbl/,1,1
portatiles/notebooks/,1,1
perifericos,1,1
mi-cuenta/,1,0
marca/cooler-master/,1,1
search/,1,1
feed/,1,0
componentes-de-pc/,1,1
marca-filtros/adata/,1,1
relojes-smartwatch/,1,1
samsung/tablet/,1,1
refrigeracion/,1,1
monitores/,1,1
_BRAND_17265,1,1
streaming,1,1
productos?/categoria/procesadores/,1,1
perifericos/webcam/,1,1
_BRAND_16360,1,1
Armado,1,1
marca/sapphire/,1,1
adaptadores/,1,1
productos?/cate=36,1,1
conectividad/,1,1
carrito/,0,0
accesorios-/hub/,1,1
productos-rubro/gamers/,1,1
parlantes/,1,1
447-celulares,1,1
pc-armadas/pc-gamer/,1,1
cooler-master-vx.htm,1,1
perifericos/teclados/,1,1
contacto/,1,0
_BRAND_50538,1,1
conectividad-redes/,1,1
conectividad/,1,1
carrito/,0,0
435-tvs,1,1
sobre-nosotros/,1,0
consolas/xbox1/,1,1
productos/,1,0
informar-pago/,1,0
marca-filtros/kingston/,1,1
contactenos,1,0
wp-json/,1,0
redes/switch-de-red/,1,1
otros/,1,1
perifericos/joysticks/,1,1
482-capturadoras,1,1
marca/lg/,1,1
_BRAND_16244,1,1
audio/auriculares/,1,1
fuentes/,1,1
microfonos/,1,1
_BRAND_275795,1,1
celulares/xiaomi/,1,1
silla-gamer/,1,1
sillas/,1,1
490-camaras-ip,1,1
contacto/,1,0
433-monitores-oficina,1,1
marca/teamgroup/,1,1
_BRAND_134413,1,1
ps5/consolas,1,1
tablets/,1,1
productos?/cate=14,1,1
2-productos,1,1
consolas/ps51/,1,1
_BRAND_2542653,1,1
marca/tp-link/,1,1
motherboard/amd/,1,1
contacto/,1,0
_BRAND_18623,1,1
perifericos/mouse/,1,1
_BRAND_448156,1,1
_BRAND_41057,1,1
otros/otros/,1,1
marca/razer/,1,1
arma-tu-pc/,0,0
436-perifericos,1,1
bangho.htm,1,1
_BRAND_434164,1,1
marca-filtros/lg/,1,1
pc-armadas/intel/,1,1
cybermonday/,1,1
servicio-tecnico/,1,0
multimedia/,1,1
_BRAND_18662,1,1
perifericos/pads/,1,1
fuentes/atx/,1,1
/mi-cuenta/,1,0
423-impresoras-laser,1,1
notebook/,1,1
marcas/aorus/,1,1
marca/adata/,1,1
487-videovigilancia,1,1
449-notebooks,1,1
rendimiento/,1,0
marca/patriot/,1,1
marca/adata/,1,1
editar/,1,0
celulares/iphone/,1,1
marca/kolink/,1,1
marca/antec/,1,1
placas-de-video/,1,1
tablet/iqual/,1,1
hardware/,1,1
tablet/,1,1
marca/corsair/,1,1
monitores/,1,1
mi-cuenta,1,0
399-gamepad,1,1
gabinetes/,1,1
420-refrigeracion,1,1
carrito/,0,0
joystick-gamepad/pc/,1,1
perifericos/,1,1
363-soportes-led,1,1
conectividad-varios/,1,1
computadoras-pc/,1,1
productos?/categoria/escritorio-pc/,1,1
monitores/,1,1
impresoras/,1,1
impresoras/,1,1
productos?/categoria/camaras/,1,1
almacenamiento-portatil,1,1
libro-de-quejas-on-line/,1,0
marca/redragon/,1,1
router/,1,1
trabajar-en-mexx/,1,0
search/,1,0
precios-explosivos.htm,1,1
wp-json/oembed/1.0/embed,1,0
488-accesorios,1,1
productos?/categoria-producto/monitores/,1,1
consolas/retro/,1,1
503-accesorios,1,1
sillas-gamer/razer/,1,1
productos?/categoria/discos/,1,1
Gabinetes_2/,1,1
481-auriculares,1,1
Buscar/dualsense,1,0
productos?/cate=59,1,1
outlet/,1,1
361-cable-datos,1,1
productos?/cate=81,1,1
recuperar-password/,1,0
360-adaptadores,1,1
404-xbox,1,1
hardware/,1,1
mi-cuenta/,1,0
productos?/categoria/sillas-gamers/,1,1
aorus/,1,1
placas-de-video/,1,1
437-auriculares,1,1
televisores-y-tv-box,1,1
productos?/categoria/televisores/,1,1
372-mini-pc,1,1
todo-en-fuentes/,1,1
disco-ssd/,1,1
mother/para-amd/,1,1
outlet/outlet/,1,0
marca/pny/,1,1
marca-filtros/corsair/,1,1
arrepentimiento/,0,0
wp-json/,1,0
/mis-favoritos,1,0
_BRAND_9593,1,1
perifericos/mouse,1,1
facturas/,1,0
productos?/categoria/teclados/,1,1
consolas/,1,1
520-simuladores,1,1
seguimiento-de-pedidos/,1,0
Home/Listado,1,0
wp-json/wp/v2/pages/24,1,0
estabilizadores/,1,1
productos?/categoria/monitores/,1,1
perifericos/,1,1
celulares/samsung/,1,1
gamepad---joystick/,1,1
procesadores/,1,1
marca/philips/,1,1
equipos-armados/,1,1
componentes-de-pc/,1,1
memorias-ram/,1,1
marca/corsair/,1,1
apple/apple-watch/,1,1
_BRAND_80801,1,1
arma-tu-pc/,0,0
514-tablets,1,1
productos?/categoria/memorias-ram/,1,1
iniciar-sesion,1,0
tag/notebook,1,1
marca/western-digital/,1,1
perifericos/webcams/,1,1
productos?/categoria/motherboards/,1,1
378-router,1,1
375-cable-red,1,1
consolas/camara-web/,1,1
pagina-inicial.htm,1,0
celulares-y-tablets/,1,1
productos?/categoria/parlantes/,1,1
perifericos/otros/,1,1
componentes-pc/,1,1
pc-armadas/,1,1
518-adaptadores,1,1
495-silla-gamer,1,1
seguridad/,1,1
marca/asrock/,1,1
359-accesorios,1,1
micrositio-palit.htm,1,1
484-portatiles,1,1
marca/asus/,1,1
combos-actualizacion/,1,1
almacenamiento/,1,1
_BRAND_2017,1,1
364-webcam,1,1
informar-pago/,1,0
tabletas-digitalizadoras,1,1
hubs/,1,1
impresoras-pantum.htm,1,1
_BRAND_5986,1,1
marca/noxi/,1,1
audio-video/,1,1
/mi-cuenta/,1,0
productos?/cate=72,1,1
/mis-favoritos,1,0
502-toners,1,1
productos?/categoria/placas-de-video/,1,1
_BRAND_9807,1,1
productos?/cate=24,1,1
marca/logitech/,1,1
Notebooks/,1,1
recuperar-contraseña,1,0
componentes-de-pc,1,1
productos?/categoria/almacenamiento/,1,1
productos?/cate=8,1,1
pc-armadas/,1,1
_BRAND_20170,1,1
productos?/cate=18,1,1
marca/pny/,1,1
tablet/smart-kassel/,1,1
procesadores/amd/,1,1
tag/gigabyte,1,1
505-notebooks,1,1
joystick-gamepad/ps4/,1,1
redes/,1,1
_BRAND_2333684,1,1
camaras-web/,1,1
perifericos/mixer-sonido/,1,1
439-joystick,1,1
productos?/categoria/notebooks-gamer/,1,1
kingstonfury.htm,1,1
productos?/cate=62,1,1
marca/amd_1/,1,1
marca-filtros/gigabyte/,1,1
wp-json/oembed/1.0/embed,1,0
marca/asus/,1,1
impresoras/insumos/,1,1
intel-micrositio.htm,1,1
marca/seagate/,1,1
marca-filtros/logitech/,1,1
memoria-ram/,1,1
productos?/categoria/notebooks/,1,1
_BRAND_16739,1,1
escolar/coca-cola,1,0
productos?/categoria/procesadores/,1,1
productos/,1,1
perifericos/teclados/,1,1
audio/microfonos/,1,1
marca/samsung/,1,1
marca/trust/,1,1
refrigeracion/,1,1
productos?/categoria-producto/apple/,1,1
cat/search/predator,1,1
impresion-y-scanners,1,1
arrepentimiento/,0,0
_BRAND_215,1,1
consolas/ps51/consolas1/,1,1
perifericos/,1,1
smart-home/tv-box1/,1,1
productos?/categoria/motherboards/,1,1
marca/dell/,1,1
marca/viewsonic/,1,1
productos?/cate=83,1,1
Ayuda,1,0
marca/logitech/,1,1
domotica/,1,1
_BRAND_13180685,1,1
productos?/categoria/pc-gamer/,1,1
sillas-gamer/,1,1
cables/,1,1
hyperx-micro.htm,1,1
mis-preguntas/,1,0
marca/tp-link/,1,1
hardware/fuente/,1,1
logitech-microsite,1,1
placasdevideo/,1,1
401-perifericos2,1,1
almacenamiento/,1,1
411-hde,1,1
perifericos/,1,1
417-placas-de-sonido,1,1
productos?/categoria/ipad-apple/,1,1
servicio-tecnico/,1,1
domotica/smart-tv/,1,1
sillas-gamer/afa/,1,1
perifericos/mousepads,1,1
Joystick/,1,1
portatil/notebook/,1,1
motherboards/,1,1
apple.htm,1,1
audio/,1,1
etiqueta/🔥/,1,0
pc-armadas/#contenido,1,1
auriculares/,1,1
build,1,1
productos?/cate=67,1,1
accesorios/cables,1,1
_BRAND_9565,1,1
marca/thermaltake/,1,1
_BRAND_6504514,1,1
procesadores/,1,1
productos?/cate=90,1,1
ubicacion/,1,0
favoritos/,1,0
procesadores/intel/,1,1
productos?/categoria/gabinetes/,1,1
perifericos/,1,1
marca/gskill/,1,1
productos-rubro//,1,1
marca/kingston/,1,1
ofertas/,1,1
marca-filtros/thermaltake/,1,1
smart-tv/,1,1
tablet/,1,1
productos?/categoria/monitores/,1,1
wp-json/wp/v2/pages/24,1,0
_BRAND_410974,1,1
smartwatch/smartwatch1/,1,1
pcs-armadas/,1,1
408-gabinetes-con-psu,1,1
marca/mercusys/,1,1
_BRAND_479,1,1
521-simulador-de-auto,1,1
380-switch,1,1
seguimiento-de-pedidos/,1,0
productos?/cate=100,1,1
corporativo.htm,1,1
perifericos/pads/,1,1
sillas-gamers/,1,1
productos?/categoria-producto/consolas/,1,1
camaras-de-seguridad/,1,1
disco-hdd/,1,1
marca-filtros/aorus/,1,1
_BRAND_15788,1,1
novedades/,1,0
pilas/aa/,1,1
365-computadoras,1,1
perifericos-gamer/pad,1,1
consolas/ps51/joystick1/,1,1
productos?/categoria/servidores/,1,1
424-impresoras-inkjet,1,1
519-outlet,1,1
productos/,1,1
_BRAND_15795,1,1
kingston-vx.htm,1,1
monitores,1,1
_BRAND_17587,1,1
/mis-favoritos,1,0
398-gaming-house,1,1
arma-tu-pc/,0,0
perifericos/accesorios/,1,1
tag/hardware,1,1
445-portables,1,1
placas-de-video/amd/,1,1
quienes-somos/,1,0
marca/sapphire/,1,1
comments/feed/,1,0
productos?/cate=15,1,1
refrigeracion-/cooler/,1,1
conectividad-y-redes/,1,1
perifericos/,1,1
productos?/categoria/impresoras/,1,1
apple/,1,1
hardware/,1,1
monitores/,1,1
outlet/,1,1
auriculares/bluetooth/,1,1
outlet/,1,1
marca/kingston/,1,1
_BRAND_7855833,1,1
