"tag","class","text_preview","href","is_valid","type"
"andes-modal","andes-modal--iframe","",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","0
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-tarjeta-de-memoria-kingston-canvas-go-plus-gen3-microsdxc-64gb-uhs-i-u3-v30-a2-170mb-s-sdg3-64gb/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","0
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","0
                                % OFF",""
"span","js-offer-percentage","0",""
"div","item-info-container","Tarjeta De Memoria Kingston Canvas Go Pl...
                                            
           ",""
"a","js-item-name item-name","Tarjeta De Memoria Kingston Canvas Go Pl...","https://www.shopgamer.com.ar/productos/shp-tarjeta-de-memoria-kingston-canvas-go-plus-gen3-microsdxc-64gb-uhs-i-u3-v30-a2-170mb-s-sdg3-64gb/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $11.702,",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$11.702,40",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$0,00",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$0,00",""
"span","js-price-display item-price h6","$14.628,00",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$2.438,00",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","5
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-mouse-inalambrico-logitech-g305-negro-910-005281/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","5
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","5
                                % OFF",""
"span","js-offer-percentage","5",""
"div","item-info-container","Mouse Inalámbrico Logitech G305 Negro
                                            
                 ",""
"a","js-item-name item-name","Mouse Inalámbrico Logitech G305 Negro","https://www.shopgamer.com.ar/productos/shp-mouse-inalambrico-logitech-g305-negro-910-005281/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $45.486,",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$45.486,46",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$59.850,60",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$59.850,60",""
"span","js-price-display item-price h6","$56.858,07",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$9.476,35",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","0
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-teclado-genius-slimstar-820-retroiluminado-black-usb-31310055401/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","0
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","0
                                % OFF",""
"span","js-offer-percentage","0",""
"div","item-info-container","Teclado Genius Slimstar 820 Retroilumina...
                                            
           ",""
"a","js-item-name item-name","Teclado Genius Slimstar 820 Retroilumina...","https://www.shopgamer.com.ar/productos/shp-teclado-genius-slimstar-820-retroiluminado-black-usb-31310055401/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $13.582,",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$13.582,17",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$0,00",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$0,00",""
"span","js-price-display item-price h6","$16.977,71",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$2.829,62",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","0
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-teclado-mouse-wireless-combo-genius-km-8200-dual-color-31340003420/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","0
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","0
                                % OFF",""
"span","js-offer-percentage","0",""
"div","item-info-container","Teclado + Mouse Wireless Combo Genius Km...
                                            
           ",""
"a","js-item-name item-name","Teclado + Mouse Wireless Combo Genius Km...","https://www.shopgamer.com.ar/productos/shp-teclado-mouse-wireless-combo-genius-km-8200-dual-color-31340003420/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $28.474,",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$28.474,71",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$0,00",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$0,00",""
"span","js-price-display item-price h6","$35.593,39",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$5.932,23",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","5
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-teclado-gamer-razer-blackwidow-v4-x-minecraft-edition-green-sw-rz03-04704100-r3m1/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","5
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","5
                                % OFF",""
"span","js-offer-percentage","5",""
"div","item-info-container","Teclado Gamer Razer Blackwidow V4 X Mine...
                                            
           ",""
"a","js-item-name item-name","Teclado Gamer Razer Blackwidow V4 X Mine...","https://www.shopgamer.com.ar/productos/shp-teclado-gamer-razer-blackwidow-v4-x-minecraft-edition-green-sw-rz03-04704100-r3m1/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $219.095",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$219.095,04",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$288.282,95",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$288.282,95",""
"span","js-price-display item-price h6","$273.868,80",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$45.644,80",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","5
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-tarjeta-microsdxc-512gb-canvas-select-plus-c-adapt-sdcs2-512gb/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","5
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","5
                                % OFF",""
"span","js-offer-percentage","5",""
"div","item-info-container","Tarjeta De Memoria Kingston 512Gb Canvas...
                                            
           ",""
"a","js-item-name item-name","Tarjeta De Memoria Kingston 512Gb Canvas...","https://www.shopgamer.com.ar/productos/shp-tarjeta-microsdxc-512gb-canvas-select-plus-c-adapt-sdcs2-512gb/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $60.463,",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$60.463,06",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$79.556,65",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$79.556,65",""
"span","js-price-display item-price h6","$75.578,82",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$12.596,47",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","5
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-parlante-genius-sp-hf500b-wood-2-0ch-usb-c-31730047402/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","5
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","5
                                % OFF",""
"span","js-offer-percentage","5",""
"div","item-info-container","Parlante Genius Sp-Hf500B Wood 2.0Ch Usb...
                                            
           ",""
"a","js-item-name item-name","Parlante Genius Sp-Hf500B Wood 2.0Ch Usb...","https://www.shopgamer.com.ar/productos/shp-parlante-genius-sp-hf500b-wood-2-0ch-usb-c-31730047402/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $83.606,",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$83.606,41",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$110.008,43",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$110.008,43",""
"span","js-price-display item-price h6","$104.508,01",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$17.418,00",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","js-item-image-container  item-image-container","5
                                % OFF",""
"div","js-item-image-padding p-relative","",""
"a","","","https://www.shopgamer.com.ar/productos/shp-mouse-inalambrico-logitech-g305-blanco-910-005290/"
"source","js-item-image-source","",""
"source","js-item-image-source","",""
"div","labels","5
                                % OFF",""
"div","js-offer-label item-label item-label-offer product-label label-primary label label-accent","5
                                % OFF",""
"span","js-offer-percentage","5",""
"div","item-info-container","Mouse Inalámbrico Logitech G305 Blanco
                                            
                ",""
"a","js-item-name item-name","Mouse Inalámbrico Logitech G305 Blanco","https://www.shopgamer.com.ar/productos/shp-mouse-inalambrico-logitech-g305-blanco-910-005290/"
"div","item-price-container m-none-xs ","PRECIO CONTADO
                        
                                                    $45.486,",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CONTADO",""
"span","js-price-display item-price weight-strong text-center d-block h6","$45.486,46",""
"h6","item-name weight-strong font-body m-bottom-quarter text-center","PRECIO CON TARJETA",""
"span","price-compare","$59.850,60",""
"span","js-compare-price-display item-price-compare p-none-left-xs p-right-quarter-xs","$59.850,60",""
"span","js-price-display item-price h6","$56.858,07",""
"div","js-max-installments-container js-max-installments font-small m-top-quarter label-line","6

						
						
															cuotas
																	sin interés
															
															d",""
"div","js-max-installments product-installments installment-no-interest","6

						
						
															cuotas
																	sin interés
															
															d",""
"span","js-installment-amount product-installment-amount","6",""
"span","","cuotas
																	sin interés
															
															de",""
"span","js-installment-price product-installment-value","$9.476,35",""
"div","product-grid-labels","Sin stock",""
"div","js-stock-label item-label product-label label-light font-small","Sin stock",""
"span","js-addtocart-success transition-container btn-transition-success","¡Listo!",""
"div","js-addtocart-adding transition-container btn-transition-progress","Agregando...",""
"div","p-bottom-double text-center m-top","",""
"span","","de  43",""
"a","pagination-arrow-link m-left-half","","/perifericos/page/2/"
"span","pagination-arrow-next m-top-half p-top-quarter","",""
"ul","list-unstyled pills-container","Auriculares
                                                                                        ",""
"li","pill","Auriculares",""
"a","pill-link","Auriculares","https://www.shopgamer.com.ar/perifericos/auriculares/"
"li","pill","Camaras Web",""
"a","pill-link","Camaras Web","https://www.shopgamer.com.ar/perifericos/camaras-web/"
"li","pill","CD/DVD Externos",""
"a","pill-link","CD/DVD Externos","https://www.shopgamer.com.ar/perifericos/cd-dvd-externos/"
"li","pill","Joysticks",""
"a","pill-link","Joysticks","https://www.shopgamer.com.ar/perifericos/joysticks/"
"li","pill","Laminadora",""
"a","pill-link","Laminadora","https://www.shopgamer.com.ar/perifericos/laminadora/"
"li","pill","MicroSD",""
"a","pill-link","MicroSD","https://www.shopgamer.com.ar/perifericos/microsd/"
"li","pill","Memorias Flash",""
"a","pill-link","Memorias Flash","https://www.shopgamer.com.ar/perifericos/memoria-flash/"
"li","pill","Microfonos",""
"a","pill-link","Microfonos","https://www.shopgamer.com.ar/perifericos/microfonos/"
"li","pill","Mouse",""
"a","pill-link","Mouse","https://www.shopgamer.com.ar/perifericos/mouse/"
"li","pill","Mouse Pad",""
"a","pill-link","Mouse Pad","https://www.shopgamer.com.ar/perifericos/mouse-pad/"
"li","pill","Parlantes",""
"a","pill-link","Parlantes","https://www.shopgamer.com.ar/perifericos/parlantes/"
"li","pill","Pendrive",""
"a","pill-link","Pendrive","https://www.shopgamer.com.ar/perifericos/pendrive/"
"li","pill","Streaming y Videos capturadoras Gaming",""
"a","pill-link","Streaming y Videos capturadoras Gaming","https://www.shopgamer.com.ar/perifericos/streaming-y-video-capturadora-gaming/"
"li","pill","Scanner",""
"a","pill-link","Scanner","https://www.shopgamer.com.ar/perifericos/scanners/"
"li","pill","Teclados para Pc",""
"a","pill-link","Teclados para Pc","https://www.shopgamer.com.ar/perifericos/teclados-gamer/"
"li","pill","Volantes",""
"a","pill-link","Volantes","https://www.shopgamer.com.ar/perifericos/volantes1/"
"li","pill","Trituradora de Papel",""
"a","pill-link","Trituradora de Papel","https://www.shopgamer.com.ar/perifericos/trituradoras-de-papeles/"
"span","btn-link btn-link-small","Ver más
                                    
                                    
                  ",""
"h6","m-bottom","Marca",""
"span","checkbox","Adata (10)",""
"span","checkbox-icon","",""
"span","checkbox","Asus (7)",""
"span","checkbox-icon","",""
"span","checkbox","Aureox (4)",""
"span","checkbox-icon","",""
"span","checkbox","Brother (4)",""
"span","checkbox-icon","",""
"span","checkbox","Consumo Electronica (3)",""
"span","checkbox-icon","",""
"span","checkbox","Cooler Master (2)",""
"span","checkbox-icon","",""
"span","checkbox","Corsair (14)",""
"span","checkbox-icon","",""
"span","checkbox","Elgato (1)",""
"span","checkbox-icon","",""
"span","checkbox","Evga (6)",""
"span","checkbox-icon","",""
"span","checkbox","Fenda (13)",""
"span","checkbox-icon","",""
"span","checkbox","Genius (60)",""
"span","checkbox-icon","",""
"span","checkbox","Gigabyte (2)",""
"span","checkbox-icon","",""
"span","checkbox","Gx (1)",""
"span","checkbox-icon","",""
"span","checkbox","Gx Gaming (6)",""
"span","checkbox-icon","",""
"span","checkbox","Hp (1)",""
"span","checkbox-icon","",""
"span","checkbox","Hyperx (16)",""
"span","checkbox-icon","",""
"span","checkbox","Hyperx Perifericos (2)",""
"span","checkbox-icon","",""
"span","checkbox","Jabra (4)",""
"span","checkbox-icon","",""
"span","checkbox","Jbl (4)",""
"span","checkbox-icon","",""
"span","checkbox","Kingston (30)",""
"span","checkbox-icon","",""
"span","checkbox","Lenovo (8)",""
"span","checkbox-icon","",""
"span","checkbox","Lexar (6)",""
"span","checkbox-icon","",""
"span","checkbox","Logitech (136)",""
"span","checkbox-icon","",""
"span","checkbox","Microsoft (1)",""
"span","checkbox-icon","",""
"span","checkbox","Netac (2)",""
"span","checkbox-icon","",""
"span","checkbox","Philips (1)",""
"span","checkbox-icon","",""
"span","checkbox","Playstation (3)",""
"span","checkbox-icon","",""
"span","checkbox","Poly (3)",""
"span","checkbox-icon","",""
"span","checkbox","Razer (42)",""
"span","checkbox-icon","",""
"span","checkbox","Royal (3)",""
"span","checkbox-icon","",""
"span","checkbox","Sandisk (15)",""
"span","checkbox-icon","",""
"span","checkbox","Skullcandy (3)",""
"span","checkbox-icon","",""
"span","checkbox","Targus (4)",""
"span","checkbox-icon","",""
"span","checkbox","Thermaltake (5)",""
"span","checkbox-icon","",""
"span","checkbox","Trust (85)",""
"span","checkbox-icon","",""
"span","checkbox","Wd (3)",""
"span","checkbox-icon","",""
"span","checkbox","Zowie (4)",""
"span","checkbox-icon","",""
"div","h6 weight-strong m-bottom","Precio",""
"div","form-group","Desde
				
				
				  
			
			
				Hasta
				
				
				
			
			Aplicar",""
"label","form-label","Desde",""
"label","form-label","Hasta",""
"div","span2","",""
"div","service-icon svg-icon-text d-inline-block  m-right-half m-none-xs m-bottom-half-xs","",""
"div","service-item-container span4 has-3-banners text-center swiper-slide border-none-xs","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito
            o Hasta un 20% de descu",""
"div","js-service-item service-item","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito
            o Hasta un 20% de descu",""
"div","span2","",""
"div","service-icon svg-icon-text d-inline-block  m-right-half m-none-xs m-bottom-half-xs","",""
"div","span10 service-text p-right p-none-xs","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito
            o Hasta un 20% de descu",""
"h3","h6 service-title","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito",""
"p","","o Hasta un 20% de descuento Pagando por Transferencia Bancaria o Alias.",""
"div","span2","",""
"div","service-icon svg-icon-text d-inline-block  m-right-half m-none-xs m-bottom-half-xs","",""
"div","span2","",""
"div","service-icon svg-icon-text d-inline-block  m-right-half m-none-xs m-bottom-half-xs","",""
"div","service-item-container span4 has-3-banners text-center swiper-slide border-none-xs","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito
            o Hasta un 20% de descu",""
"div","js-service-item service-item","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito
            o Hasta un 20% de descu",""
"div","span2","",""
"div","service-icon svg-icon-text d-inline-block  m-right-half m-none-xs m-bottom-half-xs","",""
"div","span10 service-text p-right p-none-xs","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito
            o Hasta un 20% de descu",""
"h3","h6 service-title","Aprovecha 6 Cuotas sin interes con todas las tarjetas de credito",""
"p","","o Hasta un 20% de descuento Pagando por Transferencia Bancaria o Alias.",""
"div","span2","",""
"div","service-icon svg-icon-text d-inline-block  m-right-half m-none-xs m-bottom-half-xs","",""
"li","wrap-list-xs","Quienes Somos",""
"a","","Quienes Somos","https://www.shopgamer.com.ar/quienes-somos/"
"li","wrap-list-xs","Productos",""
"a","","Productos","https://www.shopgamer.com.ar/productos/"
"li","wrap-list-xs","Faq",""
"a","","Faq","https://www.shopgamer.com.ar/preguntas-frecuentes/"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"div","col-foot","Formas de envío",""
"h4","footer-title font-body text-uppercase","Formas de envío",""
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"img","footer-payship-img card-img lazyload","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"a","text-wrap","01132212641","tel:01132212641"
"a","footer-icon rounded-icon","","https://instagram.com/elshopgamer"
"a","footer-icon rounded-icon","","https://www.facebook.com/elshopgamers"
"div","newsletter-footer js-newsletter-footer p-relative","No completar este campo",""
"div","input-append full-width p-relative m-none-xs","No completar este campo",""
"span","btn btn-footer p-all-half newsletter-footer-btn submit-icon","",""
"div","span2 seals-container pull-left-xs","Seguridad y Certificaciones",""
"div","col-foot","Seguridad y Certificaciones",""
"h4","footer-title font-body text-uppercase","Seguridad y Certificaciones",""
"div","afip seal-afip clear-both pull-left d-inline-block","",""
"a","","","http://qr.afip.gob.ar/?qr=J1B1p9nZDXEQV4qwxidqDQ,,"
"img","","","https://www.afip.gob.ar/images/f960/DATAWEB.jpg"
"div","custom-seals-container","",""
"div","custom-seal pull-left m-top-quarter m-bottom-quarter clear-both","",""
"img","lazyload custom-seal-img","","//acdn-us.mitiendanube.com/assets/themes/new_linkedman/static/images/empty-placeholder.png"
"div","span3 text-center-xs","",""
"div","powered-by","",""
"div","powered-by-logo","",""
"a","","","https://www.tiendanube.com?utm_source=store&utm_medium=referral&utm_campaign=footerSlogan"
"div","span4","",""
"div","pull-left","Producto",""
"p","","Producto",""
"div","text-right pull-right cart-subtotal-header","Subtotal",""
"p","","Subtotal",""
"div","js-ajax-cart-list ajax-cart-table pull-left","",""
"div","ajax-cart-total h4 ajax-cart-subtotal cart-subtotal js-visible-on-cart-filled row-fluid pull-left m-bottom-none","Subtotal
						 (sin envío)
						:
					
					$0,00",""
"span","pull-left text-left","Subtotal
						 (sin envío)
						:",""
"span","js-ajax-cart-total js-cart-subtotal pull-right text-right weight-strong","$0,00",""
"span","js-promo-in","en",""
"span","js-promo-all","todos los productos",""
"span","js-promo-units-or-more","o más.",""
"div","js-cart-total-container ajax-cart-total-container cart-total h2 js-visible-on-cart-filled pull-left row-fluid","Total:
					$0,00
				 		                
	                    Total: $0,00
	                

			  ",""
"span","pull-left text-left font-normal","Total:",""
"span","js-cart-total   pull-right text-right","$0,00",""
"div","js-installments-cart-total cart-installments font-small m-top-quarter clear-both pull-right ","O hasta
		
		1

		
		
							cuotas
							
							de
					

		
		$0,00",""
"span","js-cart-installments-amount cart-installments-amount ","1",""
"span","","cuotas
							
							de",""
"span","js-cart-installments cart-installments-money ","$0,00",""
"a","btn btn-link p-none","ver otros acá","/productos/"
"div","js-ajax-cart-submit pull-right full-width-xs","",""
"div","m-top m-bottom-half pull-left text-center full-width visible-phone text-uppercase","Ver más productos",""
"div","modal-dialog","",""
"div","modal-content","",""
"div","modal-body modal-xs-body p-all-xs","",""
"div","btn-floating-sticky","",""
"div","js-item-product","",""
"div","js-product-container js-quickshop-container js-quickshop-modal","",""
"div","js-item-variants","",""
"div","row-fluid","",""
"div","span6 text-center","",""
"div","quickshop-img-container","",""
"div","js-quickshop-img-padding","",""
"img","js-item-image js-quickshop-img quickshop-img","",""
"div","span6","",""
"div","product-form-container m-top","",""
"div","js-item-name h2 product-name","",""
"div","product-price-container m-bottom","",""
"span","js-compare-price-display product-price-compare price-compare h5 m-bottom-quarter-xs m-right-half","",""
"span","js-price-display product-price d-inline h2","",""
"hr","divider","",""
"div","","",""
"a","js-btn-fixed-bottom btn-whatsapp btn-floating fixed-bottom visible-when-content-ready","","https://wa.me/5491159649103"
"div","header-banner","",""
"div","container","¡Envíos a todo el pais!",""
"div","row justify-content-between","¡Envíos a todo el pais!",""
"div","col col-auto col-md left-nav","",""
"div","col col-auto center-nav text-center","¡Envíos a todo el pais!",""
"div","d-inline-block","¡Envíos a todo el pais!",""
"div","rte-content d-inline-block","¡Envíos a todo el pais!",""
"p","","¡Envíos a todo el pais!",""
"span","","¡Envíos a todo el pais!",""
"span","","¡Envíos a todo el pais!",""
"div","col col-auto col-md right-nav text-right","",""
"div","col col-auto col-header-left","",""
"div","","",""
"a","","","https://www.armytech.com.ar/"
"img","logo img-fluid","","https://www.armytech.com.ar/img/logo-1683567127.jpg"
"div","col col-header-center","",""
"div","input-group","",""
"div","autocomplete-suggestions ","",""
"div","col col-auto header-btn-w header-user-btn-w","Ingresar",""
"a","header-btn header-user-btn","Ingresar","https://www.armytech.com.ar/mi-cuenta"
"span","title","Ingresar",""
