tag,class,text_preview,is_valid,type
div,card-footer justify-content-between p-0,$3.890$3.890$3.443Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$3.890,,
h4,mt-0 pecio_final ft,$3.443Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135898                                                    ,,
span,pull-left articulo_field,135898,,
h4,card-title mb-1 h-40*,ADAPTADOR HDMI L,,
div,card-footer justify-content-between p-0,$4.519$4.519$3.999Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$4.519,,
h4,mt-0 pecio_final ft,$3.999Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135940                                                    ,,
span,pull-left articulo_field,135940,,
h4,card-title mb-1 h-40*,CABLE RCA AUDIO,,
div,card-footer justify-content-between p-0,$4.555$4.555$4.031Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$4.555,,
h4,mt-0 pecio_final ft,$4.031Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135876                                                    ,,
span,pull-left articulo_field,135876,,
h4,card-title mb-1 h-40*,CABLE PLUG JACK,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135877                                                    ,,
span,pull-left articulo_field,135877,,
h4,card-title mb-1 h-40*,CABLE RCA AUDIO Y VIDEO,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135878                                                    ,,
span,pull-left articulo_field,135878,,
h4,card-title mb-1 h-40*,CABLE ADAPTADOR AUX A RCA,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135888                                                    ,,
span,pull-left articulo_field,135888,,
h4,card-title mb-1 h-40*,CABLE POWER INTERLOCK,,
div,card-footer justify-content-between p-0,$5.083$5.083$4.498Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$5.083,,
h4,mt-0 pecio_final ft,$4.498Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,149835                                                    ,,
span,pull-left articulo_field,149835,,
h4,card-title mb-1 h-40*,ADAPTADOR RJ54 a RJ45 (hembra a hembra),,
div,card-footer justify-content-between p-0,$5.466$5.466$4.837Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$5.466,,
h4,mt-0 pecio_final ft,$4.837Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135856                                                    ,,
span,pull-left articulo_field,135856,,
h4,card-title mb-1 h-40*,CABLE HDMI 4k,,
div,card-footer justify-content-between p-0,$5.648$5.648$4.998Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$5.648,,
h4,mt-0 pecio_final ft,$4.998Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,149836                                                    ,,
span,pull-left articulo_field,149836,,
h4,card-title mb-1 h-40*,CABLE MINI USB (PARA CARGADOR),,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135875                                                    ,,
span,pull-left articulo_field,135875,,
h4,card-title mb-1 h-40*,CABLE DE RED 2M,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135895                                                    ,,
span,pull-left articulo_field,135895,,
h4,card-title mb-1 h-40*,CABLE VGA 1.5 METROS,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135918                                                    ,,
span,pull-left articulo_field,135918,,
h4,card-title mb-1 h-40*,ADAPTADOR HDMI A MINI HDMI,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135919                                                    ,,
span,pull-left articulo_field,135919,,
h4,card-title mb-1 h-40*,ADAPTADOR HDMI A MICRO HDMI,,
span,pull-left articulo_field,PASTERMAX A90,,
h4,card-title mb-1 h-40*,Grasa Siliconada Pastermax Para Cpu A90 (gris) Pasta Termica,,
div,card-footer justify-content-between p-0,$5.753$5.753$5.091Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$5.753,,
h4,mt-0 pecio_final ft,$5.091Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135849                                                    ,,
span,pull-left articulo_field,135849,,
h4,card-title mb-1 h-40*,ADAPTADOR USB A TIPO C,,
div,card-footer justify-content-between p-0,$6.213$6.213$5.499Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$6.213,,
h4,mt-0 pecio_final ft,$5.499Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135871                                                    ,,
span,pull-left articulo_field,135871,,
h4,card-title mb-1 h-40*,CABLE POWER TREBOL,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,163027                                                    ,,
span,pull-left articulo_field,163027,,
h4,card-title mb-1 h-40*,ADAPTADOR USB-A a MICRO,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,159999                                                    ,,
span,pull-left articulo_field,159999,,
h4,card-title mb-1 h-40*,ADAPTADOR USB C A TIPO A,,
span,pull-left articulo_field,32590003400,,
h4,card-title mb-1 h-40*,Genius Adaptador Usb-a A Usb-c,,
div,card-footer justify-content-between p-0,$6.484$6.484$5.738Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$6.484,,
h4,mt-0 pecio_final ft,$5.738Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135879                                                    ,,
span,pull-left articulo_field,135879,,
h4,card-title mb-1 h-40*,CABLE MICRO (PARA CARGADOR),,
div,card-footer justify-content-between p-0,$6.778$6.778$5.999Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$6.778,,
h4,mt-0 pecio_final ft,$5.999Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135885                                                    ,,
span,pull-left articulo_field,135885,,
h4,card-title mb-1 h-40*,CABLE LIGHTNING,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135886                                                    ,,
span,pull-left articulo_field,135886,,
h4,card-title mb-1 h-40*,CABLE C A C,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135899                                                    ,,
span,pull-left articulo_field,135899,,
h4,card-title mb-1 h-40*,ADAPTADOR DE PARED UNIVERSAL,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,149838                                                    ,,
span,pull-left articulo_field,149838,,
h4,card-title mb-1 h-40*,CARGADOR PARA AUTO PUXIDA 3.1A TIPO A DOBLE,,
div,card-footer justify-content-between p-0,$7.288$7.288$6.450Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$7.288,,
h4,mt-0 pecio_final ft,$6.450Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135870                                                    ,,
span,pull-left articulo_field,135870,,
h4,card-title mb-1 h-40*,CABLE VGA 3 METROS,,
div,card-footer justify-content-between p-0,$7.343$7.343$6.499Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$7.343,,
h4,mt-0 pecio_final ft,$6.499Precio especial,,
span,pull-left articulo_field,NGA-520 BL,,
h4,card-title mb-1 h-40*,Accesorios Noganet Cargador 2a Micro Usb,,
div,card-footer justify-content-between p-0,$7.826$7.826$6.926Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$7.826,,
h4,mt-0 pecio_final ft,$6.926Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,152838                                                    ,,
span,pull-left articulo_field,152838,,
h4,card-title mb-1 h-40*,CABLE ADAPTADOR LIGHTNINE A JACK IPHONE,,
div,card-footer justify-content-between p-0,$7.907$7.907$6.998Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$7.907,,
h4,mt-0 pecio_final ft,$6.998Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135855                                                    ,,
span,pull-left articulo_field,135855,,
h4,card-title mb-1 h-40*,CABLE USB ALARGUE 3M,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,152817                                                    ,,
span,pull-left articulo_field,152817,,
h4,card-title mb-1 h-40*,ADAPTADOR RJ45 A DOS RJ45 (red a 2 red),,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3622 ,135929                                                    ,,
span,pull-left articulo_field,135929,,
h4,card-title mb-1 h-40*,HERRAMIENTA ESTRACTPORA DE SWITCHES PULLER,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,163028                                                    ,,
span,pull-left articulo_field,163028,,
h4,card-title mb-1 h-40*,CABLE LIGHTNING MALLADO,,
div,card-footer justify-content-between p-0,$7.926$7.926$7.015Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$7.926,,
h4,mt-0 pecio_final ft,$7.015Precio especial,,
span,pull-left articulo_field,PSF32GT200S2U,,
h4,card-title mb-1 h-40*,Pen Drive Patriot Tab200 32gb Usb 2.0 Usb 2.0 Type-a Silver Ps001692,,
div,card-footer justify-content-between p-0,$7.998$7.998$7.078Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$7.998,,
h4,mt-0 pecio_final ft,$7.078Precio especial,,
span,pull-left articulo_field,M022-10-000178,,
h4,card-title mb-1 h-40*,Accesorios Evga Bracket Io Intel Lga1700 Retention Kit,,
div,card-footer justify-content-between p-0,$8.324$8.324$7.367Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$8.324,,
h4,mt-0 pecio_final ft,$7.367Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,152839                                                    ,,
span,pull-left articulo_field,152839,,
h4,card-title mb-1 h-40*,CABLE C a A MALLADO,,
div,card-footer justify-content-between p-0,$8.472$8.472$7.498Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$8.472,,
h4,mt-0 pecio_final ft,$7.498Precio especial,,
span,pull-left articulo_field,959709,,
h4,card-title mb-1 h-40*,Anbyte Cable Alimentacion Trebol/mickey 1.50m,,
div,card-footer justify-content-between p-0,$8.765$8.765$7.757Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$8.765,,
h4,mt-0 pecio_final ft,$7.757Precio especial,,
h6,card-category text-gray,150805                                                    ,,
span,pull-left articulo_field,150805,,
div,card-footer justify-content-between p-0,$9.019$9.019$7.982Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$9.019,,
h4,mt-0 pecio_final ft,$7.982Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135854                                                    ,,
span,pull-left articulo_field,135854,,
h4,card-title mb-1 h-40*,ADAPTADOR PCI-E 4 A 8 PINES,,
div,col-md-3 listado- pull-left prod-cat cat-2946 marca_4179 ,180734                                                    ,,
span,pull-left articulo_field,180734,,
h4,card-title mb-1 h-40*,GABINETE KIT SENTEY TM40 C/FUENTE LNZ FB600-LX 600W,,
div,card-footer justify-content-between p-0,$47.916$47.916$42.406Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$47.916,,
h4,mt-0 pecio_final ft,$42.406Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-2946 marca_4179 ,180735                                                    ,,
span,pull-left articulo_field,180735,,
h4,card-title mb-1 h-40*,GABINETE KIT SENTEY TM50 C/FUENTE LNZ FB600-LX 600W,,
div,card-footer justify-content-between p-0,$54.576$54.576$48.300Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$54.576,,
h4,mt-0 pecio_final ft,$48.300Precio especial,,
li,active,1,,
h3,t-shadow mt-2,1148704101,,
h5,t-shadow mt-0 mb-0,1148704101 (solo texto),,
div,departments__submenu departments__submenu--type--menu,ALMACENAMIENTO,,
a,menu__item-link,DISCO RIGIDO EXTERNO,,
a,menu__item-link,MEMORIAS,,
a,menu__item-link,PENDRIVE,,
div,departments__submenu departments__submenu--type--menu,AUDIO,,
a,menu__item-link,BANDEJAS GIRADISCOS,,
a,menu__item-link,MICROFONOS,,
a,menu__item-link,PARLANTES,,
a,menu__item-link,RADIOS,,
div,departments__submenu departments__submenu--type--menu,CAMARAS,,
a,menu__item-link,ACCESORIOS PARA IPHONE,,
a,menu__item-link,ADAPTADORES,,
a,menu__item-link,AROS DE LUZ,,
a,menu__item-link,CARGADORES,,
a,menu__item-link,FUNDAS,,
a,menu__item-link,GAMING,,
a,menu__item-link,TRIPODES,,
div,departments__submenu departments__submenu--type--menu,CONECTIVIDAD,,
a,menu__item-link,RECEPTORES WIFI,,
a,menu__item-link,REPETIDORES,,
a,menu__item-link,ROUTERS,,
div,departments__submenu departments__submenu--type--menu,ENERGIA Y CABLES,,
a,menu__item-link,CABLES,,
a,menu__item-link,CARGADORES DE CELULAR,,
a,menu__item-link,CARGADORES PORTATILES,,
a,menu__item-link,PILAS,,
div,departments__submenu departments__submenu--type--menu,FIGURAS Y MERCHANDISING,,
a,menu__item-link,CARTUCHERAS,,
a,menu__item-link,GORRAS,,
a,menu__item-link,MOCHILAS,,
a,menu__item-link,FUNKO POP!,,
a,menu__item-link,CONVERTIDOR DE SMART TV,,
a,menu__item-link,MULTIMEDIA,,
a,menu__item-link,OTROS,,
a,menu__item-link,TELEFONOS,,
div,departments__submenu departments__submenu--type--menu,INSTRUMENTOS,,
a,menu__item-link,ENCORDADOS,,
a,menu__item-link,FLAUTAS,,
a,menu__item-link,GUITARRAS,,
a,menu__item-link,UKELELES,,
div,departments__submenu departments__submenu--type--menu,MOUSE PADS,,
a,menu__item-link,TAMAÑO L (30X70cm / 82x32cm),,
a,menu__item-link,TAMAÑO S (25x25cm),,
a,menu__item-link,TAMAÑO XL (90x40cm),,
div,departments__submenu departments__submenu--type--menu,NINTENDO SWITCH,,
a,menu__item-link,ACCESORIOS,,
a,menu__item-link,CONSOLAS,,
a,menu__item-link,JUEGOS,,
div,departments__submenu departments__submenu--type--menu,PS2,,
div,departments__submenu departments__submenu--type--menu,PS3,,
a,menu__item-link,SEMINUEVOS,,
div,departments__submenu departments__submenu--type--menu,PS5,,
a,menu__item-link,JUEGOS PS5,,
a,menu__item-link,PS5 - 2x1 JUEGOS DIGITALES CUENTA SECUNDARIA,,
a,menu__item-link,DIGITALES PS5,,
div,departments__submenu departments__submenu--type--menu,SKINS,,
a,menu__item-link,PARA CONSOLA PS2,,
a,menu__item-link,PARA CONSOLA PS3 FAT,,
a,menu__item-link,PARA CONSOLA PS3 ULTRA SLIM,,
a,menu__item-link,PARA CONSOLA PS4 FAT,,
a,menu__item-link,PARA CONSOLA PS4 SLIM,,
a,menu__item-link,PARA JOYSTICK PS3,,
a,menu__item-link,PARA JOYSTICK PS4,,
a,menu__item-link,PARA NINTENDO SWITCH,,
div,departments__submenu departments__submenu--type--menu,XBOX,,
div,menu menu--layout--classic ,INALAMBRICOS - AIRPODS,,
li,menu__item,CON CABLE - IN EAR,,
li,menu__item,CON CABLE - VINCHA,,
li,menu__item,GAMERS,,
li,menu__item,INALAMBRICOS - VINCHA,,
div,menu menu--layout--classic ,CDs,,
li,menu__item,VINILOS,,
div,menu menu--layout--classic ,SILLAS,,
li,menu__item,AURICULARES,,
li,menu__item,CAMARAS WEB,,
li,menu__item,JOYSTICKS,,
li,menu__item,MOUSE,,
li,menu__item,MOUSE PAD,,
li,menu__item,TECLADOS,,
div,menu menu--layout--classic ,ACCESORIOS PARA NOTEBOOK,,
li,menu__item,CABLES Y ADAPTADORES,,
li,menu__item,MOUSE CON CABLE,,
li,menu__item,MOUSE INALAMBRICO,,
div,menu menu--layout--classic ,PS4 - 2x1 JUEGOS DIGITALES CUENTA SECUNDARIA,,
li,menu__item,2x1 JUEGOS DIGITALES CUENTA PRIMARIA,,
li,menu__item,DIGITALES PS4,,
li,menu__item,JUEGOS PS4,,
li,menu__item,PS HITS,,
li,menu__item,SKINS PS4,,
div,menu menu--layout--classic ,CABLES DE CARGA,,
li,menu__item,MALLAS,,
li,menu__item,RELOJES,,
li,breadcrumb-item active,PC GAMING,,
div,footer-contacts__text,Descripcion de mi Ecommerce,,
li,footer-links__item,SILLAS GAMER,,
li,footer-links__item,CELULARES Y TABLET,,
li,footer-links__item,COMPONENTES DE PC,,
li,footer-links__item,CONSOLAS RETRO,,
div,departments__submenu departments__submenu--type--menu,Celulares y Tablets,,
a,menu__item-link,Celulares,,
a,menu__item-link,Tablets,,
a,menu__item-link,Discos Rigidos,,
a,menu__item-link,Discos Solidos,,
a,menu__item-link,MotherBoards,,
div,departments__submenu departments__submenu--type--menu,Computadoras,,
a,menu__item-link,Cargadores de Notebook,,
a,menu__item-link,NoteBook,,
a,menu__item-link,Pc de escritorio,,
div,departments__submenu departments__submenu--type--menu,Consolas y Juegos,,
a,menu__item-link,Juegos de Nintendo Switch,,
a,menu__item-link,Juegos de PS3,,
a,menu__item-link,Juegos de PS4,,
a,menu__item-link,Juegos de PS5,,
a,menu__item-link,Juegos de Xbox One,,
div,departments__submenu departments__submenu--type--menu,Deportes,,
a,menu__item-link,Monopatines y Scooters,,
div,departments__submenu departments__submenu--type--menu,Electrónica,Audio y Video,
a,menu__item-link,Pilas y Cargadores,,
div,departments__submenu departments__submenu--type--menu,Insumos de impresión,,
a,menu__item-link,Brother,,
a,menu__item-link,Epson,,
a,menu__item-link,HP,,
a,menu__item-link,Samsung,,
a,menu__item-link,Xerox,,
div,departments__submenu departments__submenu--type--menu,Perifericos,,
a,menu__item-link,Base de Notebook,,
a,menu__item-link,Combos,,
a,menu__item-link,Mouse,,
a,menu__item-link,Pad Mouse,,
a,menu__item-link,Joysticks PS4/PS4/XBOX/SWITCH,,
div,departments__submenu departments__submenu--type--menu,Sonido,,
a,menu__item-link,Auricular Celular,,
a,menu__item-link,Auriculares Bluetooth,,
a,menu__item-link,Auriculares PC,,
a,menu__item-link,Auriculares PS3,,
a,menu__item-link,Auriculares PS4,,
a,menu__item-link,Auriculares PS5,,
a,menu__item-link,Parlantes Bluetooth,,
a,menu__item-link,Parlantes PC,,
a,menu__item-link,Radios,,
div,departments__submenu departments__submenu--type--menu,Teclados y Mouse,,
a,menu__item-link,Mouse Gamer,,
a,menu__item-link,Mouse Oficina,,
a,menu__item-link,Mouse Oficina Inalambricos,,
a,menu__item-link,Teclado y Mouse Gamer,,
a,menu__item-link,Teclado y Mouse Oficina,,
a,menu__item-link,Teclados Gamer,,
a,menu__item-link,Teclados Oficina,,
a,menu__item-link,Teclados Oficina Inalambricos,,
button,departments__button,Catalogo,,
ul,footer-links__list,Cables y adaptadores,,
li,footer-links__item,Electrodomésticos,,
div,departments__submenu departments__submenu--type--menu,Componentes de Pc,,
a,menu__item-link,Mothers,,
a,menu__item-link,Discos Ssd M.2,,
a,menu__item-link,Discos Ssd Sata,,
a,menu__item-link,Placas De Video Outlet,,
a,menu__item-link,Microfonos,,
a,menu__item-link,Mouses Gamer,,
a,menu__item-link,Mouses Oficina,,
a,menu__item-link,Software,,
a,menu__item-link,Tabletas Gráficas,,
a,menu__item-link,Escritorio Gamer,,
a,menu__item-link,Webcams,,
a,menu__item-link,Discos Rigidos Externos,,
a,menu__item-link,Pendrives,,
a,menu__item-link,Memorias Sd,,
a,menu__item-link,Carry Disk - Cajas Para Discos,,
a,menu__item-link,Combos Amd,,
a,menu__item-link,Combos Intel,,
div,departments__submenu departments__submenu--type--menu,Conectividad,,
a,menu__item-link,Adaptadores - Conversores-,,
a,menu__item-link,Cables,,
a,menu__item-link,Placas Controladoras,,
a,menu__item-link,Placas De Red Pci Express,,
a,menu__item-link,Placas De Red Wifi Pci Express,,
a,menu__item-link,Placas De Red Wifi Usb,,
a,menu__item-link,Repetidores Wifi,,
a,menu__item-link,Routers Wifi,,
a,menu__item-link,Switches,,
a,menu__item-link,Impresoras Inkjet,,
a,menu__item-link,Impresoras Laser,,
a,menu__item-link,Impresoras Termicas,,
div,departments__submenu departments__submenu--type--menu,Insumos de Impresion,,
a,menu__item-link,Botellas de Tinta para Brother Alternativas,,
a,menu__item-link,Botellas de Tinta para Canon Alternativas,,
a,menu__item-link,Botellas de Tinta para Epson Alternativas,,
a,menu__item-link,Botellas de Tinta para Hp Alternativas,,
a,menu__item-link,Cartuchos De Tinta Epson Alternativos,,
a,menu__item-link,Cartuchos De Tinta Hp Alternativos,,
a,menu__item-link,Cintas,,
a,menu__item-link,Epson Original,,
a,menu__item-link,Papel,,
a,menu__item-link,Toner Xerox Alt,,
a,menu__item-link,Toners Brothers Alternativos,,
a,menu__item-link,Toners Hp Alternativos,,
a,menu__item-link,Toners Pantum Alternativos,,
a,menu__item-link,Toners Samsung Alternativos,,
div,departments__submenu departments__submenu--type--menu,Energia,,
a,menu__item-link,Cargadores,,
a,menu__item-link,Estabilizadores - Ups,,
a,menu__item-link,Pilas y Baterias Recargables,,
div,departments__submenu departments__submenu--type--menu,Equipamiento para Hogar,Comercios y Oficinas,
a,menu__item-link,Televisores,,
div,departments__submenu departments__submenu--type--menu,Iluminacion - Deco,,
a,menu__item-link,Fotografía & Video,,
div,departments__submenu departments__submenu--type--menu,Impresion 3d,,
a,menu__item-link,Figuras,,
a,menu__item-link,Mates,,
div,departments__submenu departments__submenu--type--menu,Streaming,,
a,menu__item-link,Capturadoras,,
button,departments__button,Catálogo,,
div,menu menu--layout--classic ,Amd,,
li,menu__item,Intel,,
li,menu__item,100hz,,
li,menu__item,144hz,,
