tag,class,text_preview,type
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5366 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
h3,h3 product-title,Memoria Ram Ddr4 8gb 3200mhz Neo Forza Rgb,title
a,,Memoria Ram Ddr4 8gb 3200mhz Neo Forza Rgb,link
a,,"$ 25.714,84",link
span,product-price,"$ 25.714,84",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5154 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Disco Solido Ssd M.2 Hiksemi 256gb Wave 2500mb/s,title
a,,Disco Solido Ssd M.2 Hiksemi 256gb Wave 2500mb/s,link
span,product-price,"$ 27.347,76",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 16gb 3200mhz Neo Forza Bulk,title
a,,Memoria Ram Ddr4 16gb 3200mhz Neo Forza Bulk,link
a,,"$ 34.873,36",link
span,product-price,"$ 34.873,36",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Raptor Vortex Tg Mid-tower,title
a,,Gabinete Raptor Vortex Tg Mid-tower,link
a,,"$ 36.989,05",link
span,product-price,"$ 36.989,05",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5191 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 16gb 3200mhz Hiksemi Hiker,title
a,,Memoria Ram Ddr4 16gb 3200mhz Hiksemi Hiker,link
a,,"$ 40.964,84",link
span,product-price,"$ 40.964,84",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5379 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Cooler Cpu Cooler Master Hyper 411 Nano Argb (1700 / Am5),title
a,,Cooler Cpu Cooler Master Hyper 411 Nano Argb (1700 / Am5),link
a,,"$ 48.666,81",link
span,product-price,"$ 48.666,81",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Grabadora Int Lg Slim Dvd-rw 22x,title
a,,Grabadora Int Lg Slim Dvd-rw 22x,link
a,,"$ 46.147,56",link
span,product-price,"$ 46.147,56",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-71 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Kit Jalatec / Sfx / Over,title
a,,Gabinete Kit Jalatec / Sfx / Over,link
a,,"$ 46.578,24",link
span,product-price,"$ 46.578,24",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5403 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Raptor Nova Prime Tg Mid-tower Rgb Fan X3 Black,title
a,,Gabinete Raptor Nova Prime Tg Mid-tower Rgb Fan X3 Black,link
a,,"$ 46.792,88",link
span,product-price,"$ 46.792,88",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5189 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Disco Solido Ssd Sata Hiksemi 480gb Wave 550mb/s,title
a,,Disco Solido Ssd Sata Hiksemi 480gb Wave 550mb/s,link
a,,"$ 46.545,14",link
span,product-price,"$ 46.545,14",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5406 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Raptor Blaze Force Tg Mid-tower Rgb Fan X1,title
a,,Gabinete Raptor Blaze Force Tg Mid-tower Rgb Fan X1,link
a,,"$ 47.107,70",link
span,product-price,"$ 47.107,70",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 8gb 3600mhz Corsair Vengeance Rgb Rs Black,title
a,,Memoria Ram Ddr4 8gb 3600mhz Corsair Vengeance Rgb Rs Black,link
a,,"$ 46.857,53",link
span,product-price,"$ 46.857,53",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5162 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Sodimm Ddr5 8gb 5600mhz Kingston Kcp,title
a,,Memoria Ram Sodimm Ddr5 8gb 5600mhz Kingston Kcp,link
a,,"$ 47.879,87",link
span,product-price,"$ 47.879,87",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Disco Solido Ssd M.2 Crucial 480gb E100 4700mb/s Gen4 Nvme,title
a,,Disco Solido Ssd M.2 Crucial 480gb E100 4700mb/s Gen4 Nvme,link
a,,"$ 47.965,07",link
span,product-price,"$ 47.965,07",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Disco Solido Ssd M.2 Hiksemi 512gb Wave 350mb/s,title
a,,Disco Solido Ssd M.2 Hiksemi 512gb Wave 350mb/s,link
span,product-price,"$ 48.589,83",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5405 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Raptor Thunder Strike Tg Mid-tower Rgb Fan X1 White,title
a,,Gabinete Raptor Thunder Strike Tg Mid-tower Rgb Fan X1 White,link
a,,"$ 49.540,35",link
span,product-price,"$ 49.540,35",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5404 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Raptor Thunder Strike Tg Mid-tower Rgb Fan X1 Black,title
a,,Gabinete Raptor Thunder Strike Tg Mid-tower Rgb Fan X1 Black,link
a,,"$ 49.540,35",link
span,product-price,"$ 49.540,35",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Cooler Cpu Cooler Master Hyper 212 Black (1700 / Am5),title
a,,Cooler Cpu Cooler Master Hyper 212 Black (1700 / Am5),link
a,,"$ 54.077,68",link
span,product-price,"$ 54.077,68",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Disco Solido Ssd Sata 480gb Lexar Nq100 550mb/s,title
a,,Disco Solido Ssd Sata 480gb Lexar Nq100 550mb/s,link
a,,"$ 51.060,50",link
span,product-price,"$ 51.060,50",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 8gb 3200mhz Xpg Spectrix D50,title
a,,Memoria Ram Ddr4 8gb 3200mhz Xpg Spectrix D50,link
a,,"$ 51.685,27",link
span,product-price,"$ 51.685,27",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5407 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
h3,h3 product-title,Memoria Ram Ddr4 16gb 3200mhz Adata Blister,title
a,,Memoria Ram Ddr4 16gb 3200mhz Adata Blister,link
a,,"$ 51.947,96",link
span,product-price,"$ 51.947,96",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5367 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
h3,h3 product-title,Memoria Ram Sodimm Ddr4 16gb 3200mhz Adata,title
a,,Memoria Ram Sodimm Ddr4 16gb 3200mhz Adata,link
a,,"$ 61.212,97",link
span,product-price,"$ 61.212,97",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Msi Mag Shield M301 Micro Atx 1x Fan,title
a,,Gabinete Msi Mag Shield M301 Micro Atx 1x Fan,link
a,,"$ 61.340,76",link
span,product-price,"$ 61.340,76",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1501 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 8gb 3200mhz Corsair Vengeance Rs,title
a,,Memoria Ram Ddr4 8gb 3200mhz Corsair Vengeance Rs,link
a,,"$ 62.760,69",link
span,product-price,"$ 62.760,69",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5243 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Fuente Thermaltake 600w 80+ White Smart Rgb,title
a,,Fuente Thermaltake 600w 80+ White Smart Rgb,link
a,,"$ 70.403,61",link
span,product-price,"$ 70.403,61",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Fuente Gigabyte 550w 80+ Silver P550ss Atx 3.0,title
a,,Fuente Gigabyte 550w 80+ Silver P550ss Atx 3.0,link
a,,"$ 71.367,62",link
span,product-price,"$ 71.367,62",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
a,,"$ 74.399,57",link
span,product-price,"$ 74.399,57",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5161 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Fuente Xpg 700w 80+ Bronze Probe,title
a,,Fuente Xpg 700w 80+ Bronze Probe,link
a,,"$ 74.881,58",link
span,product-price,"$ 74.881,58",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Cooler Cpu Cooler Master Hyper 212 Black X Duo (1700 / Am5),title
a,,Cooler Cpu Cooler Master Hyper 212 Black X Duo (1700 / Am5),link
a,,"$ 75.721,20",link
span,product-price,"$ 75.721,20",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Cooler Cpu Cooler Master Hyper 620s (1700 / Am5),title
a,,Cooler Cpu Cooler Master Hyper 620s (1700 / Am5),link
a,,"$ 78.193,41",link
span,product-price,"$ 78.193,41",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Gabinete Gamer Aerocool Bionic White Rgb Vidrio G-wt-v2,title
a,,Gabinete Gamer Aerocool Bionic White Rgb Vidrio G-wt-v2,link
a,,"$ 73.836,10",link
span,product-price,"$ 73.836,10",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1922 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Tarjeta Micro Sd 256gb Adata Class 10 V30s,title
a,,Tarjeta Micro Sd 256gb Adata Class 10 V30s,link
a,,"$ 84.443,90",link
span,product-price,"$ 84.443,90",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr5 16gb 5600mhz Corsair Vengeance Rgb Black Cl40,title
a,,Memoria Ram Ddr5 16gb 5600mhz Corsair Vengeance Rgb Black Cl40,link
a,,"$ 78.209,47",link
span,product-price,"$ 78.209,47",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr5 16gb 6000mhz Crucial Pro Black Cl48,title
a,,Memoria Ram Ddr5 16gb 6000mhz Crucial Pro Black Cl48,link
a,,"$ 78.706,44",link
span,product-price,"$ 78.706,44",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,,,
img,,,
img,,,
img,,,
div,product-box-media,,productWrapper
img,img-contained,,image
a,product-box-price clearfix,$ 4.990,link
span,current-price,$ 4.990,price
div,product-box-media,,productWrapper
img,img-contained,,image
div,product-box-body clearfix,Precio en un pago: Placa De Red USB Mercusys Nano 15,productWrapper
h3,product-box-title,Placa De Red USB Mercusys Nano 150 mw150us,title
a,,Placa De Red USB Mercusys Nano 150 mw150us,link
a,product-box-price clearfix,$ 5.699,link
span,current-price,$ 5.699,price
div,product-box-media,,productWrapper
img,img-contained,,image
div,product-box-body clearfix,Precio en un pago: Fan Cooler Gamdias Aeolus M2-1201,productWrapper
h3,product-box-title,Fan Cooler Gamdias Aeolus M2-1201,title
a,,Fan Cooler Gamdias Aeolus M2-1201,link
a,product-box-price clearfix,$ 6.979,link
span,current-price,$ 6.979,price
div,product-box-media,,productWrapper
img,img-contained,,image
div,product-box-body clearfix,Precio en un pago: Fan Cooler Gamdias Aeolus M3-1201,productWrapper
h3,product-box-title,Fan Cooler Gamdias Aeolus M3-1201 120mm ARGB,title
a,,Fan Cooler Gamdias Aeolus M3-1201 120mm ARGB,link
a,product-box-price clearfix,$ 6.979,link
span,current-price,$ 6.979,price
div,product-box-media,,productWrapper
img,img-contained,,image
